ATC,20190506,0.12,0.12,0.115,0.115,98018
ATH,20190506,0.04,0.042,0.04,0.042,222476
ATL,20190506,0.62,0.62,0.57,0.59,397305
ATP,20190506,0.015,0.015,0.015,0.015,61185
ATS,20190506,0.32,0.32,0.3,0.31,794822
ATU,20190506,0.295,0.305,0.295,0.295,7754910
ATX,20190506,0.125,0.125,0.125,0.125,229
AU8,20190506,0.15,0.16,0.15,0.155,1325522
AUB,20190506,12.87,12.915,12.7,12.73,15019
AUC,20190506,0.016,0.016,0.016,0.016,241068
AUI,20190506,8.46,8.46,8.4,8.4,156686
AUL,20190506,0.005,0.005,0.005,0.005,380000
AUQ,20190506,0.028,0.03,0.028,0.03,268716
AUT,20190506,0.006,0.006,0.005,0.006,441667
AUZ,20190506,0.023,0.023,0.022,0.022,11679517
AV1,20190506,0.145,0.145,0.13,0.135,515576
AVA,20190506,0.175,0.175,0.16,0.16,593740
AVG,20190506,0.485,0.485,0.475,0.475,98640
AVH,20190506,0.37,0.385,0.365,0.38,7025671
AVJ,20190506,0.535,0.545,0.535,0.545,32527
AVL,20190506,0.02,0.02,0.019,0.019,1160178
AVN,20190506,2.27,2.28,2.25,2.25,206939
AVW,20190506,0.003,0.003,0.003,0.003,8166667
AVZ,20190506,0.043,0.043,0.041,0.042,7081780
AWC,20190506,2.23,2.24,2.15,2.16,21275027
AWN,20190506,0.2,0.2,0.2,0.2,16928
AWV,20190506,0.012,0.012,0.012,0.012,48000
AX1,20190506,1.52,1.555,1.492,1.55,1212594
AX8,20190506,0.032,0.035,0.032,0.035,18024
AXE,20190506,0.076,0.076,0.075,0.075,355416
AXT,20190506,0.012,0.012,0.012,0.012,104169
AYF,20190506,5.86,5.86,5.85,5.85,6869
AYR,20190506,0.003,0.003,0.003,0.003,10000
AYS,20190506,0.7,0.7,0.665,0.695,146087
AYZ,20190506,47.99,47.99,47.99,47.99,188
AZJ,20190506,4.85,4.91,4.8,4.82,3730517
AZM,20190506,0.02,0.02,0.02,0.02,10000
AZS,20190506,0.105,0.105,0.105,0.105,59380
AZY,20190506,0.019,0.019,0.018,0.018,9404039
B2Y,20190506,0.086,0.086,0.08,0.08,21389
BAF,20190506,0.77,0.775,0.76,0.765,167241
BAL,20190506,10.44,10.48,9.65,9.72,3154341
BAP,20190506,5.5,5.5,5.37,5.39,1273627
BAR,20190506,0.028,0.028,0.025,0.026,959022
BAT,20190506,0.022,0.024,0.022,0.023,449056
BBC,20190506,0.62,0.63,0.62,0.63,2000
BBL,20190506,0.47,0.47,0.47,0.47,10000
BBN,20190506,2.3,2.36,2.29,2.34,103050
BC8,20190506,0.205,0.205,0.195,0.195,145215
BCB,20190506,0.021,0.023,0.021,0.023,3493171
BCC,20190506,0.275,0.275,0.275,0.275,2000
BCI,20190506,0.17,0.17,0.17,0.17,224484
BCN,20190506,0.017,0.018,0.017,0.018,1573405
BCT,20190506,0.085,0.085,0.085,0.085,52765
BD1,20190506,0.018,0.018,0.018,0.018,404953
BDA,20190506,0.295,0.295,0.285,0.285,93758
BDC,20190506,0.065,0.066,0.058,0.061,3297496
BEE,20190506,0.027,0.029,0.027,0.029,100000
BEM,20190506,0.062,0.063,0.06,0.06,122277
BEN,20190506,10.39,10.42,10.27,10.33,918022
BFC,20190506,0.125,0.127,0.125,0.125,53022
BFG,20190506,0.765,0.775,0.76,0.765,302867
BGA,20190506,5.25,5.28,5.16,5.21,548848
BGL,20190506,0.535,0.54,0.52,0.52,674589
BGS,20190506,0.165,0.175,0.165,0.17,524220
BGT,20190506,0.105,0.105,0.1,0.1,198418
BHP,20190506,36.67,36.86,36.47,36.8,5000877
BID,20190506,0.78,0.925,0.78,0.925,1254023
BIN,20190506,1.78,1.83,1.76,1.76,4995160
BIQ,20190506,0.051,0.051,0.05,0.05,418040
BIS,20190506,1.12,1.12,1.12,1.12,1123
BIT,20190506,0.081,0.083,0.08,0.08,733551
BKI,20190506,1.505,1.51,1.495,1.495,234320
BKL,20190506,92.21,92.55,90.09,90.66,67020
BKT,20190506,0.07,0.075,0.07,0.074,2745841
BKW,20190506,16.54,16.6,16.075,16.27,196086
BKY,20190506,0.315,0.32,0.295,0.31,16760
